id,HetGNN,KGAT,NIRec
u0,0.7453,0.8528,0.7813
u1,0.8447,0.8611,0.8095
u2,0.6561,0.7809,0.6458
u3,0.7335,0.7693,0.697
u4,0.8409,0.8401,0.8125
u5,0.8414,0.8963,0.8506
u6,0.7039,0.6918,0.777
u7,0.8404,0.8439,0.829
u8,0.6276,0.7482,0.7292
u9,0.8861,0.9018,0.9168
u10,0.8617,0.8996,0.8908
u11,0.7133,0.8539,0.7051
u12,0.8447,0.8861,0.7883
u13,0.8189,0.8822,0.8274
u14,0.8657,0.9027,0.8795
u15,0.792,0.7981,0.7805
u16,0.5744,0.7388,0.6385
u17,0.8166,0.8585,0.8746
u18,0.8211,0.8954,0.8462
u19,0.7785,0.8729,0.8288
u20,0.8596,0.8666,0.9022
u21,0.8151,0.8827,0.7681
u22,0.766,0.9009,0.8269
u23,0.7619,0.8341,0.7797
u24,0.7892,0.8629,0.8566
u25,0.8058,0.9141,0.8347
u26,0.761,0.8331,0.783
u27,0.826,0.854,0.8518
u28,0.8986,0.9356,0.9067
u29,0.8601,0.8638,0.7534
u30,0.7785,0.824,0.7813
u31,0.732,0.8559,0.7315
u32,0.7315,0.8175,0.6513
u33,0.8348,0.9036,0.8574
u34,0.6488,0.8016,0.7768
u35,0.7751,0.866,0.7836
u36,0.8504,0.8817,0.8349
u37,0.8883,0.8902,0.8193
u38,0.7756,0.8218,0.853
u39,0.4933,0.806,0.4612
u40,0.8636,0.8822,0.8399
u41,0.7645,0.8472,0.8179
u42,0.6627,0.8484,0.7012
u43,0.6158,0.9498,0.6661
u44,0.8311,0.8376,0.8465
u45,0.6074,0.8218,0.5571
u46,0.6975,0.8162,0.7428
u47,0.8152,0.8564,0.776
u48,0.7661,0.7559,0.8521
u49,0.7982,0.8414,0.793
u50,0.8061,0.8356,0.803
u51,0.7151,0.7715,0.7247
u52,0.8201,0.8584,0.8028
u53,0.769,0.8736,0.7628
u54,0.7464,0.8322,0.77
u55,0.7756,0.828,0.6754
u56,0.8122,0.8645,0.7778
u57,0.6516,0.8424,0.6027
u58,0.687,0.8261,0.7594
u59,0.7359,0.8405,0.7271
u60,0.7238,0.791,0.7536
u61,0.7577,0.8217,0.72
u62,0.7605,0.8771,0.788
u63,0.8245,0.8489,0.7212
