id,HetGNN,KGAT,NIRec
u0,0.6098,0.0031,0.0252
u1,0.5913,0.0086,0.0256
u2,0.4424,0.0035,0.0191
u3,0.5707,0.0044,0.024
u4,0.5768,0.0237,0.0315
u5,0.4295,0.0076,0.0318
u6,0.5945,0.0024,0.0189
u7,0.4493,0.0079,0.0231
u8,0.2786,0.0019,0.018
u9,0.5998,0.0135,0.0328
u10,0.5734,0.009,0.0322
u11,0.6004,0.0041,0.0203
u12,0.5982,0.0067,0.0249
u13,0.5928,0.0127,0.0329
u14,0.5063,0.0101,0.0379
u15,0.6552,0.0169,0.0241
u16,0.5238,0.0012,0.0123
u17,0.6125,0.0055,0.032
u18,0.603,0.0055,0.0297
u19,0.5837,0.0041,0.0264
u20,0.6447,0.0246,0.0325
u21,0.588,0.0138,0.0202
u22,0.5762,0.0096,0.0266
u23,0.6391,0.0032,0.0195
u24,0.6066,0.0111,0.024
u25,0.4968,0.007,0.0254
u26,0.3636,0.0029,0.0133
u27,0.5893,0.0228,0.0258
u28,0.6451,0.0098,0.0292
u29,0.6506,0.0154,0.0286
u30,0.5147,0.0055,0.0222
u31,0.528,0.0034,0.0161
u32,0.6141,0.0034,0.0197
u33,0.6007,0.0209,0.0245
u34,0.36,0.0013,0.0188
u35,0.6427,0.0057,0.0259
u36,0.521,0.0064,0.0316
u37,0.6028,0.0072,0.0273
u38,0.5377,0.0036,0.0231
u39,0.0575,0.0011,0.006
u40,0.5688,0.0065,0.03
u41,0.6214,0.0098,0.0355
u42,0.6517,0.0023,0.0159
u43,0.611,0.0038,0.0148
u44,0.5352,0.0053,0.0341
u45,0.5804,0.0021,0.0091
u46,0.3978,0.0036,0.0195
u47,0.6403,0.012,0.0258
u48,0.6424,0.0029,0.0307
u49,0.6117,0.012,0.0238
u50,0.5025,0.0136,0.0254
u51,0.5956,0.003,0.0214
u52,0.568,0.0262,0.0303
u53,0.3769,0.0056,0.0218
u54,0.572,0.0031,0.0227
u55,0.659,0.0176,0.0215
u56,0.5667,0.0072,0.0279
u57,0.6182,0.0026,0.0131
u58,0.5403,0.0032,0.0195
u59,0.5362,0.0046,0.0289
u60,0.4871,0.0045,0.0249
u61,0.4533,0.0032,0.024
u62,0.529,0.0076,0.0233
u63,0.1896,0.0067,0.0271
u64,0.6637,0.0036,0.0228
u65,0.5052,0.0129,0.0266
u66,0.5823,0.0026,0.0194
u67,0.6339,0.0024,0.0174
u68,0.3787,0.0232,0.028
u69,0.5917,0.0119,0.0316
u70,0.5661,0.0053,0.0296
u71,0.6293,0.0061,0.0245
u72,0.5668,0.0047,0.0295
u73,0.339,0.0081,0.0273
u74,0.5342,0.0148,0.0332
u75,0.642,0.0212,0.0254
u76,0.6266,0.0054,0.0215
u77,0.5691,0.0124,0.0292
u78,0.022,0.0027,0.0196
u79,0.5156,0.0108,0.0301
u80,0.5486,0.0065,0.0278
u81,0.5689,0.0147,0.0271
u82,0.4327,0.0028,0.0281
u83,0.5566,0.0179,0.0332
u84,0.4702,0.0096,0.0329
u85,0.6648,0.0042,0.0236
u86,0.5436,0.0069,0.0253
u87,0.6159,0.0131,0.0297
u88,0.6447,0.0019,0.0204
u89,0.545,0.0092,0.0304
u90,0.6613,0.0064,0.0204
u91,0.5215,0.0071,0.0312
u92,0.5639,0.0106,0.0278
u93,0.5229,0.0123,0.038
u94,0.6617,0.0063,0.0162
u95,0.6576,0.0079,0.0242
u96,0.6211,0.0196,0.0294
u97,0.6177,0.011,0.0261
u98,0.0977,0.0099,0.0249
u99,0.5896,0.0076,0.0236
u100,0.0227,0.0124,0.0298
u101,0.6039,0.0063,0.0258
u102,0.5757,0.0089,0.038
u103,0.6184,0.0032,0.025
u104,0.5822,0.0049,0.0263
u105,0.5056,0.0208,0.0311
u106,0.596,0.0144,0.0288
u107,0.6293,0.0028,0.0229
u108,0.3342,0.0128,0.0305
u109,0.609,0.0052,0.0311
u110,0.5064,0.0069,0.0323
u111,0.6618,0.0028,0.0072
u112,0.6435,0.003,0.028
u113,0.613,0.0023,0.017
u114,0.5891,0.0106,0.031
u115,0.5775,0.0123,0.0369
u116,0.5819,0.0052,0.0253
u117,0.5435,0.0093,0.0295
u118,0.6427,0.0099,0.0241
u119,0.5829,0.0039,0.0218
u120,0.6493,0.0025,0.0221
u121,0.3544,0.0018,0.0076
u122,0.5931,0.0203,0.0217
u123,0.4012,0.0035,0.0222
u124,0.6458,0.0051,0.0241
u125,0.6351,0.0105,0.0249
u126,0.4569,0.0029,0.0173
u127,0.5995,0.0153,0.0293
u128,0.5978,0.0057,0.0232
u129,0.6447,0.0017,0.0192
u130,0.6237,0.0073,0.0303
u131,0.596,0.0092,0.0294
u132,0.5575,0.0106,0.037
u133,0.6392,0.0022,0.0135
u134,0.5471,0.0079,0.0324
u135,0.2975,0.0089,0.0286
u136,0.6578,0.0025,0.0153
u137,0.6027,0.0042,0.0216
u138,0.6491,0.0065,0.0246
u139,0.6175,0.0085,0.0305
u140,0.6171,0.0033,0.0193
u141,0.5954,0.0036,0.0269
u142,0.3722,0.0069,0.0337
u143,0.616,0.0024,0.0109
u144,0.6075,0.0111,0.0288
u145,0.5253,0.0033,0.0257
u146,0.5377,0.018,0.0344
u147,0.4841,0.0014,0.0139
u148,0.5695,0.0056,0.026
u149,0.4563,0.0162,0.0351
u150,0.6232,0.0036,0.0164
u151,0.5177,0.0056,0.0299
u152,0.5229,0.015,0.0212
u153,0.3941,0.0029,0.0143
u154,0.5455,0.0149,0.024
u155,0.6391,0.0038,0.02
u156,0.6269,0.014,0.0341
u157,0.5677,0.0097,0.0217
u158,0.5084,0.0057,0.0334
u159,0.5519,0.0103,0.0287
u160,0.5255,0.0024,0.0227
u161,0.5622,0.0046,0.0189
u162,0.5745,0.0282,0.0369
u163,0.6526,0.0031,0.0145
u164,0.634,0.0042,0.0314
u165,0.5715,0.0073,0.0326
u166,0.5194,0.0209,0.041
u167,0.5622,0.0222,0.036
u168,0.5214,0.0082,0.0259
u169,0.6001,0.0035,0.0307
u170,0.0202,0.0254,0.0412
u171,0.5603,0.0057,0.0362
u172,0.4493,0.016,0.0389
u173,0.6109,0.0048,0.0306
u174,0.5943,0.0159,0.0305
u175,0.6487,0.0025,0.019
u176,0.6646,0.0046,0.0285
u177,0.6275,0.0052,0.026
u178,0.6006,0.0032,0.0139
u179,0.5831,0.0147,0.0206
u180,0.5745,0.0056,0.0289
u181,0.5699,0.0106,0.0268
u182,0.3791,0.0016,0.0186
u183,0.5816,0.0072,0.0228
u184,0.5909,0.0053,0.0265
u185,0.5053,0.0145,0.0325
u186,0.5887,0.024,0.0352
u187,0.6041,0.0043,0.0186
u188,0.5854,0.0024,0.0146
u189,0.5994,0.0044,0.0289
u190,0.4057,0.0028,0.0198
u191,0.6008,0.0051,0.024
u192,0.6453,0.0056,0.0237
u193,0.6064,0.0038,0.0243
u194,0.5819,0.0023,0.0217
u195,0.612,0.0057,0.0336
u196,0.6185,0.0034,0.0159
u197,0.6293,0.0054,0.0259
u198,0.5576,0.0211,0.0264
u199,0.5488,0.0099,0.027
u200,0.2833,0.0031,0.019
u201,0.6204,0.005,0.0305
u202,0.4336,0.0019,0.0183
u203,0.5703,0.0036,0.0265
u204,0.6127,0.0173,0.0314
u205,0.5036,0.0187,0.0311
u206,0.6377,0.0123,0.0245
u207,0.3992,0.0018,0.0195
u208,0.6131,0.0041,0.0221
u209,0.5772,0.0031,0.0211
u210,0.5952,0.0051,0.0332
u211,0.6205,0.0025,0.0145
u212,0.5635,0.0075,0.0327
u213,0.6281,0.0256,0.0347
u214,0.6144,0.0061,0.0257
u215,0.6222,0.0155,0.026
u216,0.4713,0.002,0.0154
u217,0.5204,0.0117,0.0385
u218,0.5531,0.0032,0.015
u219,0.6166,0.0095,0.0229
u220,0.5598,0.0102,0.0232
u221,0.4084,0.0058,0.0242
u222,0.5859,0.0097,0.0285
u223,0.5288,0.0048,0.0324
u224,0.4562,0.0068,0.0141
u225,0.4891,0.009,0.0255
u226,0.6525,0.004,0.0243
u227,0.4545,0.0023,0.0222
u228,0.545,0.0032,0.0257
u229,0.6214,0.0108,0.0249
u230,0.6377,0.0029,0.0165
u231,0.4496,0.0041,0.0205
u232,0.5993,0.0163,0.0358
u233,0.5895,0.0164,0.024
u234,0.4203,0.0196,0.0362
u235,0.5771,0.0045,0.0086
u236,0.6146,0.0096,0.0322
u237,0.6386,0.0021,0.0065
u238,0.5373,0.0241,0.0275
u239,0.5814,0.006,0.027
u240,0.5114,0.019,0.0333
u241,0.6052,0.0184,0.0312
u242,0.596,0.0074,0.0253
u243,0.4954,0.0064,0.0188
u244,0.5746,0.0095,0.0297
u245,0.6311,0.0089,0.0295
u246,0.4474,0.0021,0.014
u247,0.6415,0.0094,0.0367
u248,0.5982,0.0235,0.0272
u249,0.1247,0.0166,0.023
u250,0.5144,0.0148,0.0293
u251,0.575,0.0048,0.021
u252,0.5555,0.0039,0.0207
u253,0.5839,0.0023,0.0224
u254,0.5706,0.006,0.027
u255,0.6072,0.012,0.0225
u256,0.0212,0.0043,0.0261
u257,0.558,0.0189,0.0346
u258,0.5542,0.0269,0.0226
u259,0.583,0.0143,0.0268
u260,0.4164,0.0121,0.0258
u261,0.617,0.007,0.0315
u262,0.5663,0.0157,0.0246
u263,0.5684,0.0024,0.0216
u264,0.564,0.0044,0.0312
u265,0.6214,0.0048,0.0217
u266,0.5628,0.0126,0.0272
u267,0.616,0.0044,0.0204
u268,0.6162,0.0024,0.0132
u269,0.5322,0.0113,0.021
u270,0.6447,0.0023,0.0121
u271,0.6428,0.0037,0.0145
u272,0.6472,0.0077,0.0279
u273,0.2858,0.01,0.0363
u274,0.3657,0.0023,0.0262
u275,0.5535,0.0266,0.0317
u276,0.3941,0.0039,0.0262
u277,0.619,0.0031,0.0179
u278,0.6073,0.0057,0.0258
u279,0.4766,0.0084,0.0119
u280,0.022,0.003,0.0105
u281,0.562,0.0041,0.0142
u282,0.5611,0.0037,0.0191
u283,0.5777,0.0029,0.0219
u284,0.6266,0.0025,0.0117
u285,0.5737,0.0015,0.0185
u286,0.5522,0.0035,0.0118
u287,0.5248,0.0021,0.0077
u288,0.2573,0.0033,0.0144
u289,0.6207,0.0044,0.0298
u290,0.6067,0.0039,0.0186
u291,0.6321,0.0027,0.0167
u292,0.5228,0.0049,0.0266
u293,0.5559,0.009,0.0251
u294,0.6455,0.0124,0.024
u295,0.6152,0.0158,0.0301
u296,0.4368,0.0106,0.0239
u297,0.539,0.0025,0.0224
u298,0.6028,0.0044,0.0211
u299,0.6065,0.0055,0.0261
u300,0.5786,0.016,0.0385
u301,0.5249,0.0039,0.0187
u302,0.3639,0.0113,0.0327
u303,0.4027,0.0076,0.0243
u304,0.6007,0.0046,0.0127
u305,0.4034,0.0084,0.0115
u306,0.6245,0.0237,0.0266
u307,0.5607,0.0169,0.0276
u308,0.5735,0.0275,0.018
u309,0.609,0.005,0.0173
u310,0.6142,0.0058,0.0275
u311,0.4764,0.0122,0.0301
u312,0.5475,0.0227,0.0333
u313,0.5978,0.0139,0.0325
u314,0.5773,0.0122,0.0253
u315,0.6025,0.004,0.0305
u316,0.6453,0.004,0.0268
u317,0.6637,0.0034,0.0152
u318,0.5697,0.0044,0.0196
u319,0.6165,0.0099,0.0294
u320,0.5255,0.0052,0.0205
u321,0.6295,0.0037,0.0222
u322,0.5809,0.0108,0.0238
u323,0.5975,0.0198,0.0332
u324,0.6053,0.0021,0.0232
u325,0.581,0.0055,0.0195
u326,0.5961,0.0049,0.0216
u327,0.5709,0.0049,0.0315
u328,0.5794,0.005,0.0224
u329,0.5753,0.0111,0.022
u330,0.6156,0.0048,0.0324
u331,0.6408,0.0052,0.0201
u332,0.6128,0.004,0.0165
u333,0.4186,0.0097,0.0267
u334,0.5769,0.013,0.0221
u335,0.564,0.0044,0.0192
u336,0.6143,0.0097,0.0211
u337,0.6169,0.0026,0.0099
u338,0.4061,0.0016,0.0145
u339,0.5803,0.0081,0.0325
u340,0.561,0.0046,0.0262
u341,0.6272,0.0048,0.0142
u342,0.5912,0.0133,0.0253
u343,0.3802,0.0159,0.0195
u344,0.6307,0.005,0.02
u345,0.481,0.0018,0.0096
u346,0.5757,0.0041,0.0111
u347,0.5048,0.0029,0.0123
u348,0.5264,0.0092,0.0269
u349,0.6084,0.0031,0.0198
u350,0.6525,0.0044,0.0236
u351,0.4571,0.0152,0.0268
u352,0.6611,0.0042,0.013
u353,0.6257,0.0025,0.0281
u354,0.5825,0.0038,0.0219
u355,0.4067,0.0125,0.032
u356,0.5978,0.0047,0.0226
u357,0.4524,0.0093,0.0296
u358,0.6558,0.0031,0.0239
u359,0.6008,0.0134,0.0298
u360,0.5713,0.0046,0.026
u361,0.6429,0.0166,0.017
u362,0.5928,0.0036,0.0095
u363,0.5943,0.0061,0.0308
u364,0.6314,0.0191,0.0271
u365,0.6098,0.0041,0.0237
u366,0.6453,0.0052,0.02
u367,0.3374,0.0204,0.0301
u368,0.5825,0.0053,0.0317
u369,0.5594,0.0132,0.0219
u370,0.022,0.0037,0.0177
u371,0.5252,0.0227,0.0317
u372,0.6085,0.0018,0.0112
u373,0.4544,0.0035,0.0107
u374,0.6415,0.009,0.0293
u375,0.5664,0.0032,0.0183
u376,0.5459,0.0034,0.0298
u377,0.2969,0.0021,0.0164
u378,0.6208,0.004,0.0147
u379,0.6327,0.0039,0.0271
u380,0.4918,0.0314,0.0187
u381,0.6217,0.0024,0.019
u382,0.6161,0.0195,0.0282
u383,0.592,0.0072,0.0266
u384,0.6404,0.003,0.0122
u385,0.5826,0.007,0.025
u386,0.604,0.0232,0.026
u387,0.6121,0.0038,0.0178
u388,0.4803,0.0102,0.0243
u389,0.5846,0.0019,0.0141
u390,0.2958,0.004,0.0207
u391,0.5688,0.0192,0.0402
u392,0.5939,0.0063,0.0259
u393,0.5706,0.0082,0.0313
u394,0.6001,0.0073,0.0334
u395,0.5956,0.0039,0.0255
u396,0.6021,0.0047,0.029
u397,0.5423,0.0021,0.0176
u398,0.6354,0.0038,0.0247
u399,0.6105,0.0021,0.0188
u400,0.554,0.0089,0.0297
u401,0.0216,0.0085,0.0327
u402,0.5202,0.0275,0.0238
u403,0.5987,0.0208,0.0226
u404,0.619,0.0035,0.02
u405,0.4044,0.0059,0.0174
u406,0.5966,0.0077,0.0246
u407,0.6049,0.0396,0.0345
u408,0.519,0.0236,0.0303
u409,0.64,0.0112,0.0249
u410,0.0216,0.0015,0.0157
u411,0.471,0.0042,0.0181
u412,0.2387,0.0033,0.0213
u413,0.6162,0.004,0.0217
u414,0.5744,0.004,0.0205
u415,0.3577,0.0063,0.0277
u416,0.5978,0.0034,0.0234
u417,0.6092,0.0026,0.0206
u418,0.6025,0.0039,0.0194
u419,0.3529,0.0022,0.0261
u420,0.553,0.0072,0.0333
u421,0.5859,0.0029,0.0188
u422,0.5914,0.0107,0.0289
u423,0.603,0.0055,0.0202
u424,0.4533,0.0302,0.0312
u425,0.5734,0.0037,0.0239
u426,0.6238,0.0041,0.0299
u427,0.5234,0.0042,0.024
u428,0.5897,0.0054,0.0147
u429,0.6646,0.0028,0.0216
u430,0.5588,0.014,0.0281
u431,0.5721,0.0032,0.0156
u432,0.3772,0.0036,0.0235
u433,0.6118,0.0025,0.0179
u434,0.5538,0.0061,0.0176
u435,0.3938,0.0063,0.0189
u436,0.5983,0.0024,0.0124
u437,0.6009,0.014,0.0237
u438,0.5909,0.0146,0.0329
u439,0.6236,0.0043,0.0296
u440,0.5925,0.004,0.0158
u441,0.6149,0.0036,0.0231
u442,0.6315,0.0027,0.0235
u443,0.3991,0.0025,0.0158
u444,0.5465,0.0096,0.03
u445,0.5899,0.0039,0.0114
u446,0.1035,0.0036,0.0177
u447,0.5777,0.0233,0.0309
