id,HetGNN,KGAT,NIRec
u0,0,0.15,0.85
u1,0.1,0.1,0.85
u2,0.05,0,0.8
u3,0,0.3,0.85
u4,0.15,0.05,0.95
u5,0.1,0.05,0.95
u6,0,0,0.8
u7,0.1,0.05,0.8
u8,0.1,0.05,0.8
u9,0.05,0.1,1
u10,0.25,0,0.95
u11,0,0.05,0.9
u12,0.1,0.1,0.95
u13,0.25,0,0.9
u14,0.2,0.25,0.95
u15,0.2,0.15,0.9
u16,0,0.05,0.6
u17,0,0.05,0.95
u18,0.1,0.05,1
u19,0.05,0.15,0.85
u20,0.15,0.15,1
u21,0.05,0.1,0.85
u22,0.1,0.15,0.9
u23,0.1,0.05,0.95
u24,0,0.05,0.95
u25,0.05,0.1,0.9
u26,0,0.05,0.85
u27,0.15,0.2,0.95
u28,0,0.2,0.95
u29,0.1,0.2,0.8
u30,0.05,0.1,0.9
u31,0,0.15,0.7
u32,0.15,0.1,0.65
u33,0.1,0.2,0.95
u34,0,0,0.9
u35,0.15,0.3,0.95
u36,0.1,0.1,0.9
u37,0.05,0.2,0.8
u38,0.15,0.1,1
u39,0,0,0.3
u40,0.05,0.2,0.85
u41,0.15,0,0.9
u42,0.05,0.05,0.7
u43,0.05,0.05,0.6
u44,0.05,0.05,0.9
u45,0,0.05,0.5
u46,0,0.05,0.7
u47,0,0.1,0.95
u48,0.15,0,0.9
u49,0.05,0.05,0.85
u50,0.1,0.1,0.85
u51,0,0,0.9
u52,0.05,0.15,0.8
u53,0.05,0.05,0.8
u54,0.1,0.1,0.85
u55,0.1,0.2,0.75
u56,0.1,0.1,0.9
u57,0,0.05,0.75
u58,0.05,0,0.75
u59,0.05,0.1,0.9
u60,0.05,0.05,0.85
u61,0.05,0.15,0.9
u62,0.05,0.1,0.9
u63,0,0.05,0.85
u64,0.05,0.15,0.9
u65,0.1,0.15,0.9
u66,0.05,0.05,0.85
u67,0,0.15,0.8
u68,0,0.1,1
u69,0.05,0.15,0.95
u70,0.2,0.05,1
u71,0.1,0,0.95
u72,0.15,0.1,0.8
u73,0.1,0.1,0.8
u74,0,0.05,0.85
u75,0.05,0.2,0.95
u76,0.1,0.05,0.7
u77,0.1,0.05,0.95
u78,0,0,0.8
u79,0.1,0.05,0.95
