id,HetGNN,KGAT,NIRec
u0,0,0.0349,0.2833
u1,0.0213,0.0213,0.3036
u2,0.0128,0,0.3019
u3,0,0.075,0.2787
u4,0.0319,0.0105,0.2969
u5,0.0211,0.0104,0.3065
u6,0,0,0.4103
u7,0.0215,0.0108,0.2759
u8,0.0303,0.0149,0.3721
u9,0.0103,0.0208,0.2667
u10,0.0521,0,0.3065
u11,0,0.012,0.3333
u12,0.0211,0.0211,0.3115
u13,0.0532,0,0.3051
u14,0.0417,0.0515,0.2794
u15,0.0455,0.0341,0.3051
u16,0,0.0192,0.3636
u17,0,0.0125,0.322
u18,0.0256,0.0128,0.3774
u19,0.011,0.0326,0.2787
u20,0.0319,0.0316,0.4
u21,0.0108,0.0215,0.2931
u22,0.0222,0.0333,0.2903
u23,0.0225,0.0112,0.3065
u24,0,0.0112,0.322
u25,0.0105,0.0211,0.3051
u26,0,0.0119,0.3617
u27,0.0326,0.043,0.3167
u28,0,0.04,0.3016
u29,0.0217,0.043,0.2909
u30,0.0112,0.0227,0.2609
u31,0,0.0462,0.3182
u32,0.0316,0.0211,0.1884
u33,0.0208,0.0412,0.3725
u34,0,0,0.375
u35,0.0323,0.0645,0.3276
u36,0.0211,0.0211,0.2432
u37,0.0103,0.0412,0.2857
u38,0.0326,0.0215,0.3125
u39,0,0,0.3529
u40,0.0104,0.0417,0.2931
u41,0.0353,0,0.2857
u42,0.0244,0.0244,0.4516
u43,0.0175,0.0175,0.3529
u44,0.0119,0.012,0.2951
u45,0,0.0192,0.2941
u46,0,0.0145,0.3415
u47,0,0.0222,0.3725
u48,0.0361,0,0.3273
u49,0.0112,0.0112,0.3148
u50,0.0217,0.0215,0.2698
u51,0,0,0.3273
u52,0.0106,0.0316,0.2712
u53,0.0112,0.0111,0.2857
u54,0.0241,0.0241,0.3208
u55,0.0217,0.043,0.2727
u56,0.0227,0.0225,0.3103
u57,0,0.0123,0.3125
u58,0.0119,0,0.2941
u59,0.0122,0.0244,0.3158
u60,0.0135,0.0135,0.425
u61,0.0137,0.0417,0.3462
u62,0.0106,0.0215,0.3051
u63,0,0.0111,0.3091
u64,0.0114,0.0341,0.3333
u65,0.0215,0.0323,0.2727
u66,0.0118,0.0118,0.2833
u67,0,0.037,0.3556
u68,0,0.0222,0.3226
u69,0.0109,0.033,0.3167
u70,0.0444,0.0111,0.3279
u71,0.0241,0,0.3065
u72,0.037,0.0247,0.3636
u73,0.0222,0.0222,0.2623
u74,0,0.0105,0.2698
u75,0.0106,0.0426,0.3393
u76,0.0227,0.0114,0.3333
u77,0.0213,0.0105,0.3393
u78,0,0,0.3556
u79,0.0208,0.0105,0.2714
u80,0.0116,0.0116,0.2542
u81,0.0435,0,0.3276
u82,0.0114,0.0114,0.2931
u83,0.0521,0.0104,0.2951
u84,0.0538,0.0323,0.339
u85,0.0116,0.0116,0.3036
u86,0.012,0,0.4
u87,0.033,0.011,0.2923
u88,0.0116,0.0349,0.25
u89,0.0108,0.0319,0.2576
u90,0.0118,0.0233,0.3396
u91,0.0341,0,0.2923
u92,0,0.0111,0.3226
u93,0.0417,0.0625,0.2597
u94,0,0.0127,0.2692
u95,0,0,0.3148
u96,0.0309,0.0309,0.2969
u97,0,0.022,0.303
u98,0.0118,0,0.4
u99,0,0,0.4103
u100,0,0.0375,0.3226
u101,0.0278,0.0141,0.4091
u102,0.0106,0.0638,0.2836
u103,0.0118,0,0.2679
u104,0.0108,0.0326,0.3019
u105,0.0714,0.0306,0.3519
u106,0,0.0104,0.3333
u107,0,0,0.3396
u108,0,0.0215,0.2836
u109,0,0,0.3333
u110,0,0,0.2429
u111,0,0.0563,0.3611
u112,0.0233,0.0118,0.3226
u113,0.0267,0,0.3469
u114,0.0417,0.0208,0.2703
u115,0.0108,0.0108,0.2464
u116,0,0.0421,0.2466
u117,0.0215,0.043,0.3103
u118,0.013,0,0.2963
u119,0.0118,0,0.3103
u120,0,0.0353,0.3061
u121,0.0179,0.0179,0.4167
u122,0,0.0227,0.3279
u123,0.0112,0.0225,0.2951
u124,0.012,0.0244,0.34
u125,0.012,0.0482,0.25
u126,0.0132,0.0132,0.2542
u127,0.0108,0.0426,0.2812
u128,0.0114,0,0.3585
u129,0,0,0.4571
u130,0.043,0.0323,0.2319
u131,0.0128,0.0256,0.2581
u132,0,0.0217,0.3065
u133,0,0,0.3091
u134,0.0412,0.0309,0.2969
u135,0,0.044,0.2468
u136,0,0.038,0.25
u137,0.0156,0.0159,0.3556
u138,0.0227,0,0.2951
u139,0,0.0127,0.3175
u140,0,0,0.3273
u141,0.0533,0,0.34
u142,0.0213,0.0215,0.3519
u143,0,0,0.3208
u144,0.0233,0.0233,0.3167
u145,0.0282,0.0139,0.4634
u146,0.0439,0.0174,0.3125
u147,0,0.0147,0.3043
u148,0.0349,0.0118,0.3509
u149,0.0101,0.0612,0.2985
u150,0,0,0.3333
u151,0.0114,0.0115,0.2632
u152,0.0659,0.011,0.3673
u153,0,0,0.2727
u154,0.0102,0,0.2603
u155,0.0227,0.0112,0.3
u156,0.033,0,0.3065
u157,0.0154,0.0154,0.3947
u158,0.0127,0.0127,0.3091
u159,0.0208,0.0206,0.3396
u160,0,0,0.3455
u161,0.0253,0.0253,0.3778
u162,0.0729,0.0104,0.2833
u163,0.05,0.0256,0.6087
u164,0.0187,0.0283,0.2308
u165,0.0065,0.0129,0.1835
u166,0.0121,0.0182,0.1754
u167,0.0301,0.0545,0.2041
u168,0.0204,0.0068,0.1731
u169,0,0.0352,0.1939
u170,0,0.02,0.1961
u171,0.0069,0.0208,0.1979
u172,0.0331,0.0265,0.2198
u173,0,0.0303,0.2436
u174,0.0082,0.0163,0.2073
u175,0,0.0139,0.25
u176,0.0114,0.0114,0.3393
u177,0.0132,0.0132,0.3016
u178,0.0244,0.0241,0.2692
u179,0.0119,0.0119,0.2833
u180,0.0351,0.0179,0.4167
u181,0.0238,0.0119,0.34
u182,0,0,0.3261
u183,0.023,0,0.2787
u184,0.023,0.0233,0.3214
u185,0,0.0326,0.2807
u186,0.0312,0,0.2703
u187,0,0.0123,0.3261
u188,0.0109,0,0.2807
u189,0.0109,0,0.3208
u190,0.012,0,0.2727
u191,0.0222,0.0333,0.25
u192,0,0,0.3617
u193,0.0238,0.0119,0.3333
u194,0.0256,0.0128,0.2759
u195,0.0106,0.0426,0.2923
u196,0,0,0.2951
u197,0.0118,0,0.2687
u198,0.0366,0.0241,0.3455
u199,0.0217,0,0.3846
u200,0,0.0233,0.2656
u201,0,0.0244,0.3103
u202,0.0128,0.0253,0.3922
u203,0,0.0253,0.3269
u204,0.0204,0.0408,0.3333
u205,0.0101,0.0306,0.303
u206,0,0.0235,0.3922
u207,0,0.0119,0.2778
u208,0,0.0103,0.2931
u209,0.0556,0,0.3158
u210,0.0319,0.0213,0.3115
u211,0.0411,0.0278,0.3125
u212,0,0.0562,0.3226
u213,0.0103,0.0412,0.2714
u214,0.0319,0.0108,0.2394
u215,0.023,0.046,0.303
u216,0.0123,0,0.375
u217,0.0556,0.0222,0.3448
u218,0,0,0.2807
u219,0.0215,0.0426,0.2903
u220,0.0125,0.0375,0.3208
u221,0,0.022,0.3455
u222,0.011,0.0109,0.3519
u223,0.0118,0.0238,0.2698
u224,0,0.0125,0.3269
u225,0.023,0.0115,0.383
u226,0.0152,0,0.3469
u227,0,0.01,0.2576
u228,0,0.0115,0.3125
u229,0.0104,0.0105,0.2857
u230,0,0.0132,0.2444
u231,0.0116,0.0233,0.2286
u232,0.0345,0.023,0.2603
u233,0,0.0208,0.2759
u234,0.0309,0.0206,0.3393
u235,0,0,0.25
u236,0.0122,0.0122,0.3137
u237,0,0.0125,0.2609
u238,0.0421,0.0211,0.3115
u239,0.0404,0.0202,0.3279
u240,0.0426,0.0319,0.2812
u241,0.0217,0.011,0.3654
u242,0.0123,0.0244,0.2923
u243,0.025,0.0125,0.2909
u244,0,0,0.2581
u245,0.0104,0.0312,0.2727
u246,0,0.0217,0.3333
u247,0.0215,0.0106,0.2468
u248,0.0112,0.0112,0.2812
u249,0.022,0.0333,0.3333
u250,0,0.0105,0.25
u251,0.0238,0,0.2963
u252,0,0.0238,0.3617
u253,0.0116,0.0233,0.2542
u254,0.0222,0.011,0.2698
u255,0.0333,0.022,0.3061
u256,0,0.0238,0.3
u257,0.0109,0.0109,0.3103
u258,0,0.043,0.2639
u259,0,0.025,0.375
u260,0.0109,0.0108,0.3636
u261,0,0.0294,0.3333
u262,0.0444,0.044,0.2553
u263,0,0.0132,0.34
u264,0.0213,0.0108,0.2794
u265,0.026,0,0.3158
u266,0.0312,0.0208,0.3167
u267,0.0135,0.0135,0.3617
u268,0,0,0.3793
u269,0.0206,0.0306,0.3051
u270,0,0,0.3939
u271,0.0135,0.0133,0.3333
u272,0.0112,0.0225,0.2817
u273,0.0435,0.033,0.3016
u274,0.0123,0,0.3167
u275,0,0.0109,0.2576
u276,0.0123,0,0.3214
u277,0,0,0.3276
u278,0.0361,0,0.2963
u279,0.0308,0,0.4048
u280,0,0.0455,0.2727
u281,0.0122,0.0361,0.2549
u282,0.0118,0,0.4043
u283,0.023,0.0115,0.3065
u284,0.0167,0,0.4242
u285,0,0,0.283
u286,0,0.0465,0.2787
u287,0,0,0.3721
u288,0,0.0339,0.3784
u289,0.0215,0.0217,0.2833
u290,0,0,0.3333
u291,0.012,0.0119,0.3455
u292,0.023,0,0.3214
u293,0.0366,0.0244,0.4146
u294,0.0208,0.0312,0.322
u295,0,0.0103,0.3333
u296,0,0.0326,0.2857
u297,0.0349,0.0116,0.2278
u298,0,0.0375,0.2982
u299,0,0.0309,0.3065
u300,0.0222,0.0112,0.2794
u301,0.0123,0,0.2708
u302,0.022,0.0222,0.3276
u303,0.0112,0.0227,0.2923
u304,0.013,0.0128,0.3556
u305,0,0.0274,0.3958
u306,0.0316,0.0316,0.3279
u307,0.011,0.044,0.2609
u308,0.0104,0.0104,0.3396
u309,0,0.0213,0.3103
u310,0,0.0108,0.3115
u311,0.0116,0.023,0.3214
u312,0.0103,0.0417,0.3175
u313,0.0108,0.0426,0.3279
u314,0.0115,0.0341,0.3273
u315,0.0115,0,0.25
u316,0.0122,0.0244,0.2537
u317,0.0116,0.069,0.2881
u318,0.0238,0,0.3462
u319,0.0112,0.0227,0.25
u320,0,0,0.3019
u321,0.012,0.0244,0.2963
u322,0.011,0.044,0.3214
u323,0.0319,0.0108,0.254
u324,0,0.0143,0.3061
u325,0.0112,0,0.2951
u326,0.0111,0.0111,0.3208
u327,0.0244,0,0.2759
u328,0.012,0,0.4762
u329,0.0115,0.0115,0.3529
u330,0.0227,0.0337,0.2424
u331,0,0.0247,0.2969
u332,0,0.0141,0.475
u333,0,0.0225,0.25
u334,0,0.0238,0.36
u335,0.0116,0.0233,0.3654
u336,0,0.0115,0.2909
u337,0.0137,0.0274,0.2727
u338,0,0,0.375
u339,0.023,0,0.2742
u340,0,0.0112,0.3091
u341,0.0122,0.0122,0.3077
u342,0.0215,0.043,0.2817
u343,0.0114,0.0114,0.2931
u344,0.0282,0,0.3902
u345,0,0.0147,0.2083
u346,0.013,0.026,0.3125
u347,0,0,0.3019
u348,0.0108,0.043,0.3279
u349,0,0,0.5172
u350,0,0.011,0.3
u351,0.0319,0.0106,0.3393
u352,0,0.0241,0.25
u353,0.0366,0,0.2769
u354,0.0227,0,0.3214
u355,0,0.043,0.2667
u356,0.0263,0,0.381
u357,0.0103,0.0204,0.2899
u358,0.0122,0,0.3
u359,0.0108,0.0108,0.2727
u360,0.0319,0.0106,0.3158
u361,0.0247,0.0123,0.3214
u362,0,0.0353,0.2698
u363,0.0345,0.0227,0.25
u364,0.0326,0.044,0.3051
u365,0.0235,0.0119,0.2623
u366,0.0123,0.0123,0.3333
u367,0,0.0116,0.3846
u368,0.0319,0,0.2278
u369,0.0208,0.0417,0.3774
u370,0,0.0141,0.2917
u371,0.0215,0.0109,0.3276
u372,0,0.0167,0.2979
u373,0.039,0.0519,0.3902
u374,0.0106,0.0108,0.3019
u375,0.0244,0.0247,0.2885
u376,0,0.012,0.322
u377,0,0.0143,0.3182
u378,0.0357,0,0.2373
u379,0.0108,0.0108,0.2329
u380,0.0417,0.0526,0.3864
u381,0,0,0.2759
u382,0.0217,0.022,0.3167
u383,0.0116,0.0233,0.3333
u384,0,0.0133,0.2791
u385,0,0.0118,0.2609
u386,0.0112,0.0112,0.3778
u387,0.0127,0.0127,0.2642
u388,0,0,0.3051
u389,0,0,0.2917
u390,0.037,0.0122,0.3077
u391,0.0337,0.0112,0.2812
u392,0.0217,0.0323,0.3167
u393,0,0.0412,0.2941
u394,0.012,0.0244,0.3115
u395,0.023,0,0.3103
u396,0.0128,0.0759,0.3065
u397,0.0145,0.0145,0.3265
u398,0.0235,0.0349,0.2667
u399,0,0.013,0.2742
u400,0.0108,0.0213,0.3051
u401,0,0,0.25
u402,0,0.0109,0.3878
u403,0,0.0102,0.3167
u404,0,0,0.3333
u405,0.0143,0.0141,0.4043
u406,0,0.0217,0.25
u407,0.022,0.0333,0.2903
u408,0.0309,0.0104,0.2923
u409,0.0238,0.0118,0.3673
u410,0,0,0.3409
u411,0.038,0.0127,0.3333
u412,0.0125,0,0.36
