0,[0 5616],[7.777181e-06 0.99999225]
1,[0 1004 1042 1171 1364 2030 2402 3034 3394 6230 6605 6797 7394 7638 7933 8171 10994 11567],[0.0038931584 0.00021783383 0.0003275999 3.2398877e-06 0.004394183 0.00082637474 0.0018448578 0.0024404991 0.001988571 0.15691292 0.018024983 0.07382906 0.7271311 0.0005624425 0.0025114603 2.636203e-05 0.002893536 0.0021717225]
2,[0 774 1516 1604 2917 3161 4055 4112 4115 4384 4837 5380 6894 7492 7584 9502 10655 10917 11295 11638 11801 12071 12297],[8.020518e-05 9.574653e-07 3.9447266e-07 6.969556e-05 0.0040980764 0.0006998039 4.0600483e-07 0.0072028125 0.003990842 0.116775736 0.0062451265 8.959356e-06 0.00016641898 0.64399743 0.0018361907 0.21093783 0.00024323497 1.9844205e-05 0.0009574413 0.0025620759 2.6445003e-05 5.3251857e-05 2.6779346e-05]
3,[0 595 671 1199 1232 1487 2343 2444 3134 4435 6575 8209 8211 8560 8587 10959 11130 11407],[0.00010359675 7.837206e-05 7.1803246e-05 9.497197e-06 3.0651233e-06 0.00031696446 1.5508163e-05 0.0026592528 0.0011049887 0.00019512554 0.2310334 0.18394907 0.16877782 0.007558292 0.36370808 0.00056492176 0.03971383 0.00013641427]
4,[1 390 1568 6077 9614 11284],[2.3859989e-06 1.098085e-07 4.2056563e-06 0.9932088 4.9249287e-05 0.006735163]
5,[1 3053 4025 8144 8227 8607 10421 11817],[0.00010944188 0.0019237812 0.021653846 0.270858 0.6920282 0.013141007 3.263175e-05 0.0002530601]
6,[1 4321 5876 6160 7139 10412],[0.00020924266 4.7810504e-06 8.046814e-07 0.99698085 0.0028036674 7.116536e-07]
7,[1 1483],[0.72643614 0.2735638]
8,[2 419 579 804 1124 1638 2065 2668 2861 3220 3325 3670 3729 4155 4563 5729 6093 6484 6829 9041 10347 10436 10514],[0.00058640906 7.171023e-05 4.123983e-06 4.0568652e-06 8.296942e-07 0.00021365624 0.0002483274 6.2892024e-05 0.0012150168 0.0010547324 0.00013269456 0.007875363 0.020985803 0.24537908 0.6818498 0.0029486404 0.0002921846 0.028451212 0.003237046 0.0010318127 1.547421e-05 0.0005110531 0.0038281349]
9,[2 579 954 1140 1213 1420 1888 2091 3433 4583 4767 5742 8118 8761 9652 11421 11431 11682 12017],[0.00025918597 0.0002874221 0.00024474916 0.00015760113 4.749102e-05 0.0003108039 3.3916258e-05 0.003766603 0.00015019329 0.0031079396 0.014377148 0.18989454 0.05575929 0.067484125 0.62986165 0.012160669 2.1175609e-05 0.021253401 0.00082204107]
10,[2 336 659 900 1401 1457 1882 2302 2378 2705 3336 3544 3729 4813 5571 5731 6403 6546 6808 7258 8077 9614 9902 10839 11152 11201 11368 11634 12134 12177 12233 12318],[0.0006383487 1.4079751e-06 4.2505303e-07 2.4421504e-07 9.2959635e-07 2.6025095e-06 9.295543e-06 0.00020535933 0.0025668745 3.6839025e-05 0.00043071652 0.05062945 0.0016055148 2.509172e-05 0.089710966 5.032393e-05 0.00012860046 0.0011690048 0.0020314346 0.10061146 0.72457284 0.01003869 0.0031342618 0.009849769 0.0016628096 8.3413484e-05 1.186153e-06 0.0007588082 2.6944039e-05 7.3609363e-06 4.8079714e-06 4.188283e-06]
11,[2 406 596 864 1136 1213 1473 1617 1694 2140 3886 4155 4246 4767 5094 8133 10560 11879 11969 11995 12300],[0.0004887612 0.0028836443 0.0018421974 0.00035820328 0.00044525432 3.110125e-05 0.00033059614 0.00012897013 6.7729045e-05 0.0005617666 0.44700173 0.20092532 0.044596322 0.077717714 0.15071662 0.066733204 0.0029523221 0.0012447141 0.00048517942 0.00030981717 0.00017894762]
12,[2 11989],[0.041785065 0.9582149]
13,[3 548 955 963 1037 1229 1335 3003 3714 6678 7077 8036 9458 9656 9854 10996 11276 11962 12261],[0.08816264 3.62048e-07 1.7034566e-07 4.809528e-08 1.3139362e-07 4.7286477e-07 1.1863707e-06 7.862822e-08 1.2322852e-06 0.00034486922 0.0016224986 0.9088123 0.00025264244 3.2413827e-06 0.0007967397 4.1194235e-07 1.7603826e-08 4.922111e-07 4.7988186e-07]
